"Hot Spots - Class";"Self Time [%]";"Self Time";"Self Time (CPU)";"Total Time";"Total Time (CPU)";"Samples"
"org.apache.fop.area.LineArea";"0.036784586";"79.573 ms";"79.573 ms";"79.573 ms";"79.573 ms";"4"
"org.apache.fop.layoutmgr.inline.TextLayoutManager";"0.03576342";"77.364 ms";"77.364 ms";"809.191 ms";"809.191 ms";"59"
"java.util.LinkedList";"0.030062187";"65.031 ms";"65.031 ms";"65.031 ms";"65.031 ms";"4"
"org.apache.fop.fo.properties.CommonBorderPaddingBackground";"0.029051192";"62.844 ms";"62.844 ms";"357.704 ms";"357.704 ms";"28"
"org.apache.xerces.impl.XMLDocumentFragmentScannerImpl";"0.029046107";"62.833 ms";"62.833 ms";"18623.902 ms";"18623.902 ms";"136"
"org.apache.xerces.util.SymbolTable";"0.02816686";"60.931 ms";"60.931 ms";"121.015 ms";"121.015 ms";"6"
"org.apache.fop.fo.RecursiveCharIterator";"0.027415201";"59.305 ms";"59.305 ms";"136.861 ms";"136.861 ms";"13"
"org.apache.fop.layoutmgr.inline.LineLayoutManager$LineBreakingAlgorithm";"0.027242774";"58.932 ms";"58.932 ms";"282.993 ms";"282.993 ms";"26"
"org.apache.fop.fonts.base14.Helvetica";"0.026956625";"58.313 ms";"58.313 ms";"58.313 ms";"58.313 ms";"3"
"org.apache.fop.fo.pagination.PageNumberGenerator";"0.024430756";"52.849 ms";"52.849 ms";"52.849 ms";"52.849 ms";"1"
"org.apache.fop.fo.properties.CommonTextDecoration";"0.020421447";"44.176 ms";"44.176 ms";"44.176 ms";"44.176 ms";"9"
"org.apache.fop.layoutmgr.inline.InlineLayoutManager";"0.019425709";"42.022 ms";"42.022 ms";"533.672 ms";"533.672 ms";"34"
"org.apache.fop.layoutmgr.inline.LineLayoutManager";"0.019333253";"41.822 ms";"41.822 ms";"4157.183 ms";"4157.183 ms";"308"
"org.apache.xerces.xinclude.XIncludeHandler";"0.018952338";"40.998 ms";"40.998 ms";"17796.995 ms";"17796.995 ms";"258"
"org.apache.fop.fo.flow.table.TableFObj";"0.018929224";"40.948 ms";"40.948 ms";"102.654 ms";"102.654 ms";"7"
"org.apache.fop.layoutmgr.SpaceElement";"0.018822439";"40.717 ms";"40.717 ms";"80.882 ms";"80.882 ms";"4"
"org.apache.fop.render.ps.PSFontUtils";"0.018772515";"40.609 ms";"40.609 ms";"240.443 ms";"240.443 ms";"34"
"org.apache.fop.layoutmgr.AreaAdditionUtil";"0.018632907";"40.307 ms";"40.307 ms";"1330.016 ms";"1330.016 ms";"61"
"org.apache.fop.layoutmgr.BlockStackingLayoutManager";"0.018545536";"40.118 ms";"40.118 ms";"3234.55 ms";"3234.55 ms";"268"
"org.apache.fop.fo.FOText";"0.01834722";"39.689 ms";"39.689 ms";"592.57 ms";"592.57 ms";"31"
"org.apache.fop.area.MainReference";"0.018219633";"39.413 ms";"39.413 ms";"39.413 ms";"39.413 ms";"2"
"org.apache.fop.layoutmgr.AbstractBreaker";"0.01818635";"39.341 ms";"39.341 ms";"12370.045 ms";"12370.045 ms";"759"
"org.apache.xerces.impl.XMLNSDocumentScannerImpl";"0.018081414";"39.114 ms";"39.114 ms";"17733.398 ms";"17733.398 ms";"241"
"org.apache.fop.fo.FObjMixed";"0.018057374";"39.062 ms";"39.062 ms";"1336.355 ms";"1336.355 ms";"70"
"org.apache.fop.fonts.base14.Courier";"0.017845653";"38.604 ms";"38.604 ms";"38.604 ms";"38.604 ms";"2"
"org.apache.fop.fo.FObj$FObjIterator";"0.017504957";"37.867 ms";"37.867 ms";"37.867 ms";"37.867 ms";"2"
"sun.misc.FloatingDecimal";"0.017501721";"37.86 ms";"37.86 ms";"1888.033 ms";"1888.033 ms";"171"
"org.apache.fop.layoutmgr.LayoutManagerMapping";"0.010762217";"23.281 ms";"23.281 ms";"42.697 ms";"42.697 ms";"3"
"org.apache.fop.layoutmgr.PageBreakingAlgorithm";"0.010020729";"21.677 ms";"21.677 ms";"325.524 ms";"325.524 ms";"17"
"org.apache.fop.area.PageViewport";"0.009965719";"21.558 ms";"21.558 ms";"81.839 ms";"81.839 ms";"5"
"org.apache.fop.fo.XMLWhiteSpaceHandler$EOLchecker";"0.009735505";"21.06 ms";"21.06 ms";"43.269 ms";"43.269 ms";"2"
"org.apache.fop.area.Page";"0.009646749";"20.868 ms";"20.868 ms";"20.868 ms";"20.868 ms";"1"
"org.apache.fop.layoutmgr.MinOptMaxUtil";"0.009632881";"20.838 ms";"20.838 ms";"40.165 ms";"40.165 ms";"2"
"org.apache.fop.fo.pagination.AbstractPageSequence";"0.009623173";"20.817 ms";"20.817 ms";"73.666 ms";"73.666 ms";"2"
"java.util.zip.ZipFile";"0.009472009";"20.49 ms";"20.49 ms";"20.49 ms";"20.49 ms";"2"
"java.lang.ClassLoader";"0.009463688";"20.472 ms";"20.472 ms";"120.773 ms";"120.773 ms";"15"
"org.apache.fop.fo.properties.ColorProperty$Maker";"0.009452131";"20.447 ms";"20.447 ms";"20.447 ms";"20.447 ms";"1"
"org.apache.fop.fo.flow.table.Table";"0.009444272";"20.43 ms";"20.43 ms";"62.343 ms";"62.343 ms";"3"
"org.apache.xerces.impl.XMLDTDScannerImpl";"0.009440574";"20.422 ms";"20.422 ms";"20.422 ms";"20.422 ms";"3"
"org.apache.fop.area.RenderPagesModel";"0.009381403";"20.294 ms";"20.294 ms";"6737.571 ms";"6737.571 ms";"441"
"org.apache.fop.fo.pagination.Flow";"0.009308363";"20.136 ms";"20.136 ms";"20.136 ms";"20.136 ms";"1"
