sep=;
"Hot Spots - Method";"Self Time [%]";"Self Time";"Self Time (CPU)";"Total Time";"Total Time (CPU)";"Samples"
"sun.misc.VM.latestUserDefinedLoader0[native]()";"4.183818E-4";"20.822 ms";"20.822 ms";"20.822 ms";"20.822 ms";"1"
"cck.text.StringUtil.toFixedFloat()";"4.1512668E-4";"20.66 ms";"20.66 ms";"20.66 ms";"20.66 ms";"1"
"com.sun.jmx.remote.internal.ServerCommunicatorAdmin.reqIncoming()";"4.1197205E-4";"20.503 ms";"20.503 ms";"20.503 ms";"20.503 ms";"1"
"avrora.sim.mcu.Timer16Bit.<init>()";"4.1050525E-4";"20.43 ms";"20.43 ms";"20.43 ms";"20.43 ms";"1"
"sun.management.GarbageCollectorImpl.getCollectionTime[native]()";"4.1000292E-4";"20.405 ms";"20.405 ms";"20.405 ms";"20.405 ms";"1"
"avrora.arch.legacy.LegacyDisassembler.decode_4()";"4.0895806E-4";"20.353 ms";"20.353 ms";"20.353 ms";"20.353 ms";"1"
"java.util.AbstractCollection.containsAll()";"4.0801367E-4";"20.306 ms";"20.306 ms";"20.306 ms";"20.306 ms";"1"
"avrora.sim.mcu.MCUProperties.getPin()";"4.062254E-4";"20.217 ms";"20.217 ms";"20.217 ms";"20.217 ms";"1"
"avrora.sim.mcu.USART$SerialPrinter.<init>()";"4.0606462E-4";"20.209 ms";"20.209 ms";"20.209 ms";"20.209 ms";"1"
"avrora.arch.legacy.LegacyDisassembler.decode_MULS_0()";"4.0566275E-4";"20.189 ms";"20.189 ms";"20.189 ms";"20.189 ms";"1"
"java.io.FileInputStream.open0[native]()";"4.0355296E-4";"20.084 ms";"20.084 ms";"20.084 ms";"20.084 ms";"1"
"java.lang.AbstractStringBuilder.<init>()";"4.0270906E-4";"20.042 ms";"20.042 ms";"20.042 ms";"20.042 ms";"1"
"java.lang.Class.forName0[native]()";"4.002376E-4";"19.919 ms";"19.919 ms";"19.919 ms";"19.919 ms";"1"
"java.io.ObjectOutputStream$BlockDataOutputStream.writeBytes()";"3.9762547E-4";"19.789 ms";"19.789 ms";"19.789 ms";"19.789 ms";"1"
"java.lang.Thread.setPriority0[native]()";"3.9625913E-4";"19.721 ms";"19.721 ms";"19.721 ms";"19.721 ms";"1"
"avrora.arch.legacy.LegacyArchitecture.newInstrArray()";"3.882821E-4";"19.324 ms";"19.324 ms";"19.324 ms";"19.324 ms";"1"
"java.util.TreeMap.fixAfterInsertion()";"3.802649E-4";"18.925 ms";"18.925 ms";"18.925 ms";"18.925 ms";"1"
"java.security.AccessController.doPrivileged[native]()";"3.74257E-4";"18.626 ms";"18.626 ms";"746105.583 ms";"746105.583 ms";"123"
"sun.management.ThreadImpl.verifyThreadIds()";"3.5950856E-4";"17.892 ms";"17.892 ms";"17.892 ms";"17.892 ms";"1"
"com.sun.jmx.remote.internal.ServerCommunicatorAdmin.rspOutgoing()";"3.456643E-4";"17.203 ms";"17.203 ms";"17.203 ms";"17.203 ms";"1"
"java.lang.String.intern[native]()";"2.5994645E-4";"12.937 ms";"12.937 ms";"12.937 ms";"12.937 ms";"1"
"java.util.Properties.setProperty()";"1.7678048E-4";"8.798 ms";"8.798 ms";"8.798 ms";"8.798 ms";"1"
"org.dacapo.harness.TeeOutputStream.version()";"1.6920532E-4";"8.421 ms";"8.421 ms";"878.291 ms";"878.291 ms";"52"
"java.lang.System.currentTimeMillis[native]()";"6.5544205E-5";"3.262 ms";"3.262 ms";"3.262 ms";"3.262 ms";"1"
"java.lang.Object.wait()";"0.0";"0.0 ms";"0.0 ms";"1759460.306 ms";"0.0 ms";"51552"
"avrora.sim.clock.RippleSynchronizer.waitForLink()";"0.0";"0.0 ms";"0.0 ms";"1415086.428 ms";"0.0 ms";"51551"
"avrora.sim.radio.Medium$Receiver.access$000()";"0.0";"0.0 ms";"0.0 ms";"1514118.471 ms";"60093.066 ms";"36536"
"avrora.sim.clock.RippleSynchronizer.waitFor()";"0.0";"0.0 ms";"0.0 ms";"1415086.428 ms";"0.0 ms";"35678"
"avrora.sim.radio.Medium$Receiver$Ticker.fireUnlocked()";"0.0";"0.0 ms";"0.0 ms";"1262290.782 ms";"46605.982 ms";"24998"
"avrora.sim.radio.Medium$Receiver$Ticker.fireLocked()";"0.0";"0.0 ms";"0.0 ms";"614544.667 ms";"156559.268 ms";"23071"
"java.io.PrintStream.write()";"0.0";"0.0 ms";"0.0 ms";"198275.581 ms";"198275.581 ms";"19023"
"avrora.sim.radio.Medium$Receiver$Ticker.deliverByte()";"0.0";"0.0 ms";"0.0 ms";"362476.971 ms";"142851.861 ms";"15773"
"avrora.monitors.PacketMonitor$Mon.fireAfterReceiveEnd()";"0.0";"0.0 ms";"0.0 ms";"362275.625 ms";"142691.155 ms";"15767"
"avrora.sim.radio.Medium$Probe$List.fireAfterReceiveEnd()";"0.0";"0.0 ms";"0.0 ms";"362275.625 ms";"142691.155 ms";"15767"
"avrora.sim.radio.Medium$Receiver$Ticker.fire()";"0.0";"0.0 ms";"0.0 ms";"1876835.63 ms";"203165.438 ms";"11473"
"sun.nio.cs.StreamEncoder.flushBuffer()";"0.0";"0.0 ms";"0.0 ms";"198196.558 ms";"198196.558 ms";"9587"
"sun.nio.cs.StreamEncoder.writeBytes()";"0.0";"0.0 ms";"0.0 ms";"198196.558 ms";"198196.558 ms";"9587"
"java.io.FileOutputStream.write()";"0.0";"0.0 ms";"0.0 ms";"198196.558 ms";"198196.558 ms";"9587"
"java.io.OutputStreamWriter.flushBuffer()";"0.0";"0.0 ms";"0.0 ms";"198196.558 ms";"198196.558 ms";"9587"
"sun.nio.cs.StreamEncoder.implFlushBuffer()";"0.0";"0.0 ms";"0.0 ms";"198196.558 ms";"198196.558 ms";"9587"
"java.io.FilterOutputStream.write()";"0.0";"0.0 ms";"0.0 ms";"198147.379 ms";"198147.379 ms";"9584"
"org.dacapo.harness.TeeOutputStream.write()";"0.0";"0.0 ms";"0.0 ms";"198147.379 ms";"198147.379 ms";"9584"
"java.io.PrintStream.println()";"0.0";"0.0 ms";"0.0 ms";"197531.805 ms";"197531.805 ms";"9541"
"cck.text.Terminal.println()";"0.0";"0.0 ms";"0.0 ms";"197504.464 ms";"197504.464 ms";"9539"
"java.io.PrintStream.print()";"0.0";"0.0 ms";"0.0 ms";"195195.077 ms";"195195.077 ms";"9436"
"avrora.sim.clock.DeltaQueue.skipAhead()";"0.0";"0.0 ms";"0.0 ms";"1841038.613 ms";"192173.828 ms";"9218"
"avrora.sim.clock.MainClock.skipAhead()";"0.0";"0.0 ms";"0.0 ms";"1841038.613 ms";"192173.828 ms";"9218"
"avrora.arch.legacy.LegacyInterpreter.visit()";"0.0";"0.0 ms";"0.0 ms";"117338.207 ms";"29414.125 ms";"5562"
"avrora.sim.AtmelInterpreter.writeSRAM()";"0.0";"0.0 ms";"0.0 ms";"116636.228 ms";"28712.146 ms";"5528"
"avrora.sim.AtmelInterpreter.writeVolatile()";"0.0";"0.0 ms";"0.0 ms";"116636.228 ms";"28712.146 ms";"5528"
"avrora.sim.AtmelInterpreter.setIORegBit()";"0.0";"0.0 ms";"0.0 ms";"116628.516 ms";"28704.434 ms";"5527"
"avrora.sim.platform.LED.write()";"0.0";"0.0 ms";"0.0 ms";"114845.928 ms";"26943.451 ms";"5438"
"avrora.sim.FiniteStateMachine.transition()";"0.0";"0.0 ms";"0.0 ms";"114845.928 ms";"26943.451 ms";"5438"
"avrora.sim.FiniteStateMachine.fireAfter()";"0.0";"0.0 ms";"0.0 ms";"114787.555 ms";"26885.078 ms";"5436"
"avrora.sim.util.MulticastFSMProbe.fireAfterTransition()";"0.0";"0.0 ms";"0.0 ms";"114787.555 ms";"26885.078 ms";"5436"
"avrora.sim.mcu.ATMegaFamily$PortRegister.write()";"0.0";"0.0 ms";"0.0 ms";"114086.966 ms";"27996.743 ms";"5399"
"avrora.sim.clock.DeltaQueue.advanceSlow()";"0.0";"0.0 ms";"0.0 ms";"73241.254 ms";"44956.134 ms";"3453"
"avrora.sim.clock.MainClock.advance()";"0.0";"0.0 ms";"0.0 ms";"73241.254 ms";"44956.134 ms";"3453"
"avrora.sim.clock.DeltaQueue.advance()";"0.0";"0.0 ms";"0.0 ms";"73241.254 ms";"44956.134 ms";"3453"
"avrora.sim.AtmelInterpreter.commit()";"0.0";"0.0 ms";"0.0 ms";"73201.938 ms";"44916.818 ms";"3451"
"avrora.arch.legacy.LegacyInstr$CBI.accept()";"0.0";"0.0 ms";"0.0 ms";"59595.27 ms";"15748.741 ms";"2839"
"avrora.arch.legacy.LegacyInstr$SBI.accept()";"0.0";"0.0 ms";"0.0 ms";"57033.246 ms";"12955.693 ms";"2688"
"avrora.sim.radio.Medium$Transmitter$Ticker.fire()";"0.0";"0.0 ms";"0.0 ms";"31913.606 ms";"30518.798 ms";"1592"
"avrora.monitors.PacketMonitor$Mon.fireBeforeTransmitEnd()";"0.0";"0.0 ms";"0.0 ms";"31815.58 ms";"30420.772 ms";"1587"
"avrora.sim.radio.Medium$Probe$List.fireBeforeTransmitEnd()";"0.0";"0.0 ms";"0.0 ms";"31815.58 ms";"30420.772 ms";"1587"
"avrora.sim.clock.RippleSynchronizer.notifyLink()";"0.0";"0.0 ms";"0.0 ms";"32044.165 ms";"32044.165 ms";"1576"
"java.util.HashMap.get()";"0.0";"0.0 ms";"0.0 ms";"26034.649 ms";"26034.649 ms";"1239"
